question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
Identify the key characteristics of Econometrics.,Economics,Econometrics,62.16,0.62,1751.0,1088.0,9.6,Remember,Moderate
List the main components of Evolution.,Biology,Evolution,77.81,0.78,1714.0,1333.0,2.7,Remember,Easy
Differentiate between the theoretical and practical aspects of Electromagnetism.,Physics,Electromagnetism,61.92,0.62,1439.0,891.0,6.3,Analyze,Moderate
Argue the ethical implications of recent discoveries in Machine Learning.,Computer Science,Machine Learning,82.66,0.83,1000.0,826.0,3.1,Evaluate,Easy
Describe the mechanism behind Probability.,Mathematics,Probability,80.17,0.8,1528.0,1225.0,3.6,Understand,Easy
Formulate a hypothesis regarding the future trajectory of Macroeconomics.,Economics,Macroeconomics,73.3,0.73,1059.0,776.0,7.1,Create,Medium
Explain how Macroeconomics functions in modern applications.,Economics,Macroeconomics,73.56,0.74,841.0,618.0,5.4,Understand,Moderate
Critique the methodology used to study Algorithms.,Computer Science,Algorithms,39.26,0.39,1078.0,423.0,17.2,Evaluate,Hard
Recall the definition of Optics in the context of Physics.,Physics,Optics,97.04,0.97,1403.0,1361.0,2.8,Remember,Easy
List the main components of Networking.,Computer Science,Networking,54.43,0.54,1597.0,869.0,6.4,Remember,Moderate
Critique the methodology used to study Optimization.,Mathematics,Optimization,39.91,0.4,1653.0,659.0,20.5,Evaluate,Hard
Propose a new architecture integrating Thermodynamics.,Physics,Thermodynamics,51.82,0.52,1646.0,852.0,10.5,Create,Medium
Deconstruct the arguments surrounding Operating Systems in contemporary literature.,Computer Science,Operating Systems,70.38,0.7,1068.0,751.0,10.6,Analyze,Medium
Identify the key characteristics of Linear Algebra.,Mathematics,Linear Algebra,46.34,0.46,2407.0,1115.0,8.8,Remember,Medium
List the main components of Public Finance.,Economics,Public Finance,70.4,0.7,1432.0,1008.0,6.2,Remember,Moderate
Formulate a hypothesis regarding the future trajectory of Thermodynamics.,Physics,Thermodynamics,12.32,0.12,1066.0,131.0,16.8,Create,Hard
Argue the ethical implications of recent discoveries in Machine Learning.,Computer Science,Machine Learning,30.52,0.31,824.0,251.0,19.9,Evaluate,Hard
Analyze the relationship between Macroeconomics and related phenomena.,Economics,Macroeconomics,57.33,0.57,2051.0,1175.0,10.8,Analyze,Medium
Interpret the significance of Microeconomics in Economics.,Economics,Microeconomics,81.11,0.81,1673.0,1356.0,2.6,Understand,Easy
Critique the methodology used to study Microeconomics.,Economics,Microeconomics,27.38,0.27,2192.0,600.0,15.5,Evaluate,Hard
Demonstrate the use of Linear Algebra in solving a standard Mathematics problem.,Mathematics,Linear Algebra,89.6,0.9,2649.0,2373.0,2.4,Apply,Easy
Execute a procedure based on Electromagnetism guidelines.,Physics,Electromagnetism,17.5,0.17,1815.0,317.0,18.5,Apply,Hard
Formulate a hypothesis regarding the future trajectory of Cell Biology.,Biology,Cell Biology,12.12,0.12,1030.0,124.0,24.1,Create,Hard
State the primary theorem in Optimization.,Mathematics,Optimization,46.13,0.46,1006.0,464.0,9.8,Remember,Moderate
Compare and contrast the primary approaches to Calculus.,Mathematics,Calculus,25.02,0.25,1045.0,261.0,16.1,Analyze,Hard
State the primary theorem in Econometrics.,Economics,Econometrics,70.79,0.71,1524.0,1078.0,6.1,Remember,Moderate
Describe the mechanism behind Operating Systems.,Computer Science,Operating Systems,76.64,0.77,1577.0,1208.0,1.8,Understand,Easy
Execute a procedure based on Ecology guidelines.,Biology,Ecology,69.96,0.7,1159.0,810.0,5.5,Apply,Moderate
Use the standard model of Operating Systems to predict future states.,Computer Science,Operating Systems,58.72,0.59,754.0,442.0,7.6,Apply,Moderate
How does Trigonometry affect the global economy or environment? - Perspective 955,Maths,Trigonometry,34.29,0.31,2836.0,879.0,13.0,Understand,Moderate
Assess the validity of the dominant theory in Cell Biology.,Biology,Cell Biology,57.43,0.57,1626.0,933.0,8.8,Evaluate,Medium
Identify the three most critical components of Cybersecurity. - Perspective 623,Computer Science,Cybersecurity,72.8,0.72,2222.0,1599.0,4.0,Apply,Moderate
Apply the concepts of Calculus to a real-world scenario.,Mathematics,Calculus,51.96,0.52,2099.0,1090.0,7.4,Apply,Moderate
What role does Lipids and Fats play in the advancement of Chemistry technology?,Chemistry,Lipids and Fats,53.59,0.52,2596.0,1349.0,2.0,Analyze,Moderate
Summarize the key findings related to Classical Mechanics.,Physics,Classical Mechanics,89.2,0.89,1836.0,1637.0,4.1,Understand,Easy
Evaluate the impact of Cultural Studies on society today. - Perspective 590,Social Science,Cultural Studies,37.91,0.38,1176.0,446.0,5.0,Remember,Easy
Deconstruct the arguments surrounding Ecology in contemporary literature.,Biology,Ecology,60.14,0.6,1876.0,1128.0,9.3,Analyze,Medium
List the main components of Optics.,Physics,Optics,78.02,0.78,905.0,706.0,4.1,Remember,Easy
What role does Volcanoes play in the advancement of Geography technology?,Geography,Volcanoes,38.41,0.38,1641.0,623.0,15.0,Remember,Moderate
Use the standard model of Electromagnetism to predict future states.,Physics,Electromagnetism,27.12,0.27,1428.0,387.0,21.4,Apply,Hard
What role does Colonialism play in the advancement of History technology?,History,Colonialism,86.9,0.86,1189.0,1022.0,18.0,Apply,Hard
Interpret the significance of Evolution in Biology.,Biology,Evolution,52.0,0.52,1885.0,980.0,9.3,Understand,Medium
Summarize the key findings related to Macroeconomics.,Economics,Macroeconomics,59.78,0.6,1028.0,614.0,5.2,Understand,Moderate
Justify the use of Physiology over alternative methods.,Biology,Physiology,49.83,0.5,1424.0,709.0,6.7,Evaluate,Medium
Use the standard model of Optics to predict future states.,Physics,Optics,68.86,0.69,1165.0,802.0,6.7,Apply,Medium
Justify the use of Classical Mechanics over alternative methods.,Physics,Classical Mechanics,18.62,0.19,1401.0,260.0,14.9,Evaluate,Hard
Differentiate between the theoretical and practical aspects of Thermodynamics.,Physics,Thermodynamics,49.17,0.49,1485.0,730.0,8.5,Analyze,Moderate
Interpret the significance of Networking in Computer Science.,Computer Science,Networking,87.09,0.87,1582.0,1377.0,4.1,Understand,Easy
Examine the underlying metrics of Microeconomics.,Economics,Microeconomics,48.13,0.48,2628.0,1264.0,7.3,Analyze,Moderate
Demonstrate the use of Linear Algebra in solving a standard Mathematics problem.,Mathematics,Linear Algebra,59.64,0.6,2101.0,1252.0,11.9,Apply,Moderate
"In the context of Reflection and Refraction, evaluate the statement: 'Prevention is better than cure.'",Physics,Reflection and Refraction,39.8,0.4,543.0,215.0,10.0,Evaluate,Hard
Assess the validity of the dominant theory in Quantum Mechanics.,Physics,Quantum Mechanics,67.18,0.67,1287.0,864.0,8.0,Evaluate,Medium
Summarize the key findings related to Linear Algebra.,Mathematics,Linear Algebra,51.09,0.51,1593.0,813.0,5.8,Understand,Medium
Use the standard model of Discrete Math to predict future states.,Mathematics,Discrete Math,56.86,0.57,1266.0,719.0,5.4,Apply,Medium
List the main components of Data Structures.,Computer Science,Data Structures,62.76,0.63,2081.0,1306.0,10.7,Remember,Moderate
Critique the methodology used to study Optics.,Physics,Optics,30.95,0.31,2065.0,639.0,15.1,Evaluate,Hard
Execute a procedure based on Game Theory guidelines.,Economics,Game Theory,55.82,0.56,1584.0,884.0,5.9,Apply,Medium
Identify the key characteristics of Public Finance.,Economics,Public Finance,25.58,0.26,1989.0,508.0,15.1,Remember,Hard
Examine the underlying metrics of Cell Biology.,Biology,Cell Biology,77.63,0.78,1749.0,1357.0,4.9,Analyze,Easy
Deconstruct the arguments surrounding Linear Algebra in contemporary literature.,Mathematics,Linear Algebra,54.68,0.55,1570.0,858.0,5.7,Analyze,Medium
Propose a new architecture integrating Public Finance.,Economics,Public Finance,21.17,0.21,2501.0,529.0,21.2,Create,Hard
List the main components of Ecology.,Biology,Ecology,91.84,0.92,1796.0,1649.0,1.9,Remember,Easy
Draft a detailed overview of the mathematical foundations of Diffraction. - Perspective 941,Physics,Diffraction,27.07,0.23,876.0,201.0,10.0,Understand,Moderate
Explain the step-by-step mechanism of Electromagnetism.,Physics,Electromagnetism,30.5,0.26,563.0,146.0,17.0,Analyze,Medium
Define the core principles of Optimization.,Mathematics,Optimization,79.15,0.79,1652.0,1307.0,2.2,Remember,Easy
Critique the methodology used to study Operating Systems.,Computer Science,Operating Systems,63.47,0.63,1300.0,825.0,10.6,Evaluate,Medium
Mention the main components of The Age of Industrialisation.,History,The Age of Industrialisation,76.3,0.76,591.0,451.0,3.0,Remember,Easy
Argue the ethical implications of recent discoveries in Physiology.,Biology,Physiology,18.54,0.19,1471.0,272.0,22.8,Evaluate,Hard
Apply the concepts of Game Theory to a real-world scenario.,Economics,Game Theory,83.58,0.84,2163.0,1807.0,4.2,Apply,Easy
Describe the mechanism behind Probability.,Mathematics,Probability,62.43,0.62,579.0,361.0,10.8,Understand,Moderate
Apply the concepts of Public Finance to a real-world scenario.,Economics,Public Finance,71.26,0.71,1380.0,983.0,8.3,Apply,Medium
Summarize the key findings related to Optics.,Physics,Optics,95.84,0.96,1726.0,1654.0,1.5,Understand,Easy
Use the standard model of Thermodynamics to predict future states.,Physics,Thermodynamics,38.29,0.38,852.0,326.0,20.3,Apply,Hard
Use the standard model of Evolution to predict future states.,Biology,Evolution,42.27,0.42,347.0,146.0,6.7,Apply,Medium
Apply the concepts of Genetics to a real-world scenario.,Biology,Genetics,38.83,0.39,916.0,355.0,23.8,Apply,Hard
Summarize the key findings related to Ecology.,Biology,Ecology,41.92,0.42,1478.0,619.0,10.3,Understand,Moderate
Identify the key characteristics of Public Finance.,Economics,Public Finance,42.03,0.42,1716.0,721.0,5.8,Remember,Medium
List the main components of Quantum Mechanics.,Physics,Quantum Mechanics,39.25,0.39,753.0,295.0,21.8,Remember,Hard
Critique the methodology used to study Genetics.,Biology,Genetics,10.89,0.11,1447.0,157.0,12.4,Evaluate,Hard
Develop an innovative algorithm based on Calculus principles.,Mathematics,Calculus,36.7,0.37,966.0,354.0,22.1,Create,Hard
Formulate a hypothesis regarding the future trajectory of Public Finance.,Economics,Public Finance,27.57,0.28,1788.0,492.0,20.8,Create,Hard
Summarize the key findings related to Quantum Mechanics.,Physics,Quantum Mechanics,74.79,0.75,2056.0,1537.0,5.4,Understand,Medium
Explain how Public Finance functions in modern applications.,Economics,Public Finance,56.27,0.56,1341.0,754.0,9.6,Understand,Moderate
Define the core principles of Public Finance.,Economics,Public Finance,86.24,0.86,1678.0,1447.0,1.8,Remember,Easy
Calculate the expected outcome using principles of Probability.,Mathematics,Probability,89.97,0.9,651.0,585.0,2.1,Apply,Easy
Describe the mechanism behind Networking.,Computer Science,Networking,52.07,0.52,1189.0,619.0,10.9,Understand,Moderate
Recall the definition of Probability in the context of Mathematics.,Mathematics,Probability,57.59,0.58,1473.0,848.0,12.0,Remember,Medium
Differentiate between the theoretical and practical aspects of Calculus.,Mathematics,Calculus,91.52,0.92,2112.0,1932.0,4.7,Analyze,Easy
Interpret the significance of Cell Biology in Biology.,Biology,Cell Biology,41.41,0.41,1596.0,660.0,8.6,Understand,Moderate
Calculate the expected outcome using principles of Evolution.,Biology,Evolution,50.66,0.51,1505.0,762.0,10.3,Apply,Medium
Evaluate the impact of Calculus on society today. - Perspective 903,Maths,Calculus,88.62,0.87,1596.0,1388.0,19.0,Analyze,Medium
Propose a solution to a common challenge in Mendelian genetics.,Biology,Mendelian genetics,25.52,0.27,2700.0,729.0,9.0,Create,Easy
Apply the concepts of Genetics to a real-world scenario.,Biology,Genetics,49.93,0.5,1815.0,906.0,7.9,Apply,Medium
Deconstruct the arguments surrounding Operating Systems in contemporary literature.,Computer Science,Operating Systems,97.37,0.97,1404.0,1367.0,1.6,Analyze,Easy
List the key features of Quadratic Equations.,Mathematics,Quadratic Equations,74.2,0.74,226.0,167.0,2.0,Remember,Easy
Formulate a hypothesis regarding the future trajectory of Operating Systems.,Computer Science,Operating Systems,16.05,0.16,1099.0,176.0,24.0,Create,Hard
Interpret the significance of Econometrics in Economics.,Economics,Econometrics,46.83,0.47,1820.0,852.0,8.7,Understand,Moderate
Differentiate between the theoretical and practical aspects of Evolution.,Biology,Evolution,52.46,0.52,1239.0,649.0,6.3,Analyze,Moderate
Define the core principles of Game Theory.,Economics,Game Theory,70.55,0.71,1789.0,1262.0,9.1,Remember,Moderate
Calculate the expected outcome using principles of Quantum Mechanics.,Physics,Quantum Mechanics,45.4,0.45,1363.0,618.0,9.7,Apply,Medium
Deconstruct the arguments surrounding Game Theory in contemporary literature.,Economics,Game Theory,58.54,0.59,2457.0,1438.0,6.4,Analyze,Moderate
Differentiate between the theoretical and practical aspects of Quantum Mechanics.,Physics,Quantum Mechanics,19.0,0.19,1604.0,304.0,24.6,Analyze,Hard
Justify the use of Genetics over alternative methods.,Biology,Genetics,33.85,0.34,1665.0,563.0,13.2,Evaluate,Hard
Synthesize a new framework combining Networking with external disciplines.,Computer Science,Networking,51.3,0.51,1680.0,861.0,8.7,Create,Medium
Recall the definition of Operating Systems in the context of Computer Science.,Computer Science,Operating Systems,40.44,0.4,790.0,319.0,9.4,Remember,Moderate
Discuss the foundational theories of Optimization.,Mathematics,Optimization,89.38,0.89,2529.0,2260.0,1.2,Understand,Easy
Develop an innovative algorithm based on Quantum Mechanics principles.,Physics,Quantum Mechanics,26.47,0.26,829.0,219.0,23.2,Create,Hard
Describe the mechanism behind Cell Biology.,Biology,Cell Biology,76.43,0.76,2310.0,1765.0,3.2,Understand,Easy
Examine the underlying metrics of Genetics.,Biology,Genetics,74.52,0.75,1453.0,1082.0,6.1,Analyze,Moderate
Evaluate the impact of Thermodynamics on current technological advancements.,Physics,Thermodynamics,18.96,0.19,2425.0,459.0,19.9,Evaluate,Hard
Explain how Microeconomics functions in modern applications.,Economics,Microeconomics,42.56,0.43,1412.0,600.0,7.5,Understand,Moderate
Discuss the foundational theories of Microeconomics.,Economics,Microeconomics,63.68,0.64,1544.0,983.0,5.4,Understand,Medium
Discuss the foundational theories of Calculus.,Mathematics,Calculus,78.2,0.78,1076.0,841.0,4.7,Understand,Easy
Compare and contrast the primary theories of World War I.,History,World War I,88.48,0.85,1402.0,1191.0,19.0,Analyze,Moderate
Explain how Thermodynamics functions in modern applications.,Physics,Thermodynamics,96.26,0.96,1531.0,1473.0,1.7,Understand,Easy
Summarize the key findings related to Algorithms.,Computer Science,Algorithms,55.38,0.55,1999.0,1106.0,11.0,Understand,Moderate
Execute a procedure based on Public Finance guidelines.,Economics,Public Finance,15.57,0.16,1784.0,277.0,23.0,Apply,Hard
Examine the underlying metrics of Microeconomics.,Economics,Microeconomics,37.36,0.37,940.0,351.0,18.1,Analyze,Hard
Discuss the foundational theories of Operating Systems.,Computer Science,Operating Systems,76.07,0.76,2052.0,1560.0,4.5,Understand,Easy
Deconstruct the arguments surrounding Optimization in contemporary literature.,Mathematics,Optimization,17.03,0.17,2023.0,344.0,23.4,Analyze,Hard
Differentiate between the theoretical and practical aspects of Public Finance.,Economics,Public Finance,60.01,0.6,2573.0,1544.0,6.4,Analyze,Medium
Use the standard model of Machine Learning to predict future states.,Computer Science,Machine Learning,70.09,0.7,1940.0,1359.0,6.5,Apply,Medium
Recall the definition of Optimization in the context of Mathematics.,Mathematics,Optimization,96.58,0.97,1730.0,1670.0,1.6,Remember,Easy
Execute a procedure based on Evolution guidelines.,Biology,Evolution,44.66,0.45,2411.0,1076.0,7.0,Apply,Medium
Interpret the significance of Operating Systems in Computer Science.,Computer Science,Operating Systems,78.98,0.79,1691.0,1335.0,4.6,Understand,Easy
Describe the mechanism behind Quantum Mechanics.,Physics,Quantum Mechanics,67.87,0.68,1072.0,727.0,7.9,Understand,Moderate
Summarize the key findings related to Algorithms.,Computer Science,Algorithms,90.86,0.91,2405.0,2185.0,1.3,Understand,Easy
Discuss the ethical challenges associated with Gerunds and Infinitives.,English,Gerunds and Infinitives,63.31,0.66,982.0,648.0,16.0,Create,Moderate
Evaluate the impact of Statistics on society today. - Perspective 812,Maths,Statistics,28.27,0.24,1180.0,283.0,16.0,Apply,Hard
Compare and contrast the primary approaches to Game Theory.,Economics,Game Theory,51.93,0.52,2200.0,1142.0,9.3,Analyze,Moderate
Justify the use of Optics over alternative methods.,Physics,Optics,48.86,0.49,2117.0,1034.0,11.2,Evaluate,Medium
Assess the validity of the dominant theory in Machine Learning.,Computer Science,Machine Learning,33.71,0.34,964.0,324.0,20.9,Evaluate,Hard
Argue the ethical implications of recent discoveries in Data Structures.,Computer Science,Data Structures,41.76,0.42,2064.0,861.0,6.5,Evaluate,Moderate
Recall the definition of Networking in the context of Computer Science.,Computer Science,Networking,87.87,0.88,857.0,753.0,2.5,Remember,Easy
Define the core principles of Game Theory.,Economics,Game Theory,91.62,0.92,747.0,684.0,2.4,Remember,Easy
Demonstrate the use of Optimization in solving a standard Mathematics problem.,Mathematics,Optimization,20.73,0.21,1447.0,299.0,22.7,Apply,Hard
Define the core principles of Game Theory.,Economics,Game Theory,92.65,0.93,1075.0,996.0,3.7,Remember,Easy
Compare and contrast the primary approaches to Machine Learning.,Computer Science,Machine Learning,89.21,0.89,1551.0,1383.0,2.5,Analyze,Easy
Justify the use of Econometrics over alternative methods.,Economics,Econometrics,70.71,0.71,1873.0,1324.0,5.3,Evaluate,Medium
Summarize the key findings related to Physiology.,Biology,Physiology,79.03,0.79,1455.0,1149.0,3.9,Understand,Easy
Recall the definition of Ecology in the context of Biology.,Biology,Ecology,52.93,0.53,1104.0,584.0,8.1,Remember,Moderate
Summarize the key experimental findings related to Blood.,Biology,Blood,20.11,0.25,1709.0,427.0,14.0,Apply,Hard
Identify the key characteristics of Optics.,Physics,Optics,88.14,0.88,1759.0,1550.0,2.7,Remember,Easy
Argue the ethical implications of recent discoveries in Networking.,Computer Science,Networking,67.43,0.67,1374.0,926.0,9.3,Evaluate,Moderate
Interpret the significance of Classical Mechanics in Physics.,Physics,Classical Mechanics,65.42,0.65,1468.0,960.0,8.1,Understand,Medium
Demonstrate the use of Cell Biology in solving a standard Biology problem.,Biology,Cell Biology,71.57,0.72,651.0,465.0,6.4,Apply,Medium
Design a novel experiment to further test the boundaries of Discrete Math.,Mathematics,Discrete Math,19.96,0.2,1484.0,296.0,23.0,Create,Hard
Justify the use of Econometrics over alternative methods.,Economics,Econometrics,43.19,0.43,2197.0,948.0,8.7,Evaluate,Medium
Demonstrate the use of Econometrics in solving a standard Economics problem.,Economics,Econometrics,63.44,0.63,643.0,407.0,5.5,Apply,Medium
Synthesize a new framework combining Cell Biology with external disciplines.,Biology,Cell Biology,69.12,0.69,1443.0,997.0,11.1,Create,Moderate
Formulate a hypothesis regarding the future trajectory of Classical Mechanics.,Physics,Classical Mechanics,17.98,0.18,671.0,120.0,21.7,Create,Hard
A student performs an experiment on SQL Queries. What observations would they record?,Computer Science,SQL Queries,58.9,0.59,551.0,324.0,9.0,Apply,Medium
Assess the validity of the dominant theory in Discrete Math.,Mathematics,Discrete Math,69.11,0.69,1647.0,1138.0,10.6,Evaluate,Moderate
Discuss the foundational theories of Optimization.,Mathematics,Optimization,60.25,0.6,1843.0,1110.0,11.7,Understand,Moderate
Examine the underlying metrics of Microeconomics.,Economics,Microeconomics,41.9,0.42,1694.0,709.0,8.5,Analyze,Medium
Describe the mechanism behind Physiology.,Biology,Physiology,87.49,0.87,2139.0,1871.0,3.4,Understand,Easy
Design a novel experiment to further test the boundaries of Machine Learning.,Computer Science,Machine Learning,45.41,0.45,1327.0,602.0,6.5,Create,Moderate
Discuss the foundational theories of Evolution.,Biology,Evolution,73.09,0.73,2353.0,1719.0,11.9,Understand,Moderate
Examine the underlying metrics of Electromagnetism.,Physics,Electromagnetism,41.46,0.41,1688.0,699.0,6.2,Analyze,Moderate
Identify the key characteristics of Discrete Math.,Mathematics,Discrete Math,56.34,0.56,1238.0,697.0,7.1,Remember,Medium
State the primary theorem in Ecology.,Biology,Ecology,86.75,0.87,1888.0,1637.0,1.9,Remember,Easy
Assess the validity of the dominant theory in Machine Learning.,Computer Science,Machine Learning,25.77,0.26,1567.0,403.0,13.4,Evaluate,Hard
Identify the key characteristics of Linear Algebra.,Mathematics,Linear Algebra,19.24,0.19,1658.0,318.0,20.4,Remember,Hard
Justify the use of Operating Systems over alternative methods.,Computer Science,Operating Systems,29.52,0.3,1073.0,316.0,15.8,Evaluate,Hard
Apply the concepts of Physiology to a real-world scenario.,Biology,Physiology,70.48,0.7,1545.0,1088.0,5.2,Apply,Medium
Apply the concepts of Public Finance to a real-world scenario.,Economics,Public Finance,71.41,0.71,880.0,628.0,11.1,Apply,Medium
Assess the validity of the dominant theory in Networking.,Computer Science,Networking,34.55,0.35,978.0,337.0,17.6,Evaluate,Hard
Demonstrate the use of Macroeconomics in solving a standard Economics problem.,Economics,Macroeconomics,67.85,0.68,508.0,344.0,5.1,Apply,Medium
Interpret the significance of Macroeconomics in Economics.,Economics,Macroeconomics,75.79,0.76,1712.0,1297.0,1.5,Understand,Easy
Describe the mechanism behind Operating Systems.,Computer Science,Operating Systems,83.84,0.84,1687.0,1414.0,4.8,Understand,Easy
Discuss the foundational theories of Cell Biology.,Biology,Cell Biology,74.88,0.75,2258.0,1690.0,8.9,Understand,Moderate
Propose a solution to a common challenge in Sorting Algorithms. - Perspective 673,Computer Science,Sorting Algorithms,59.09,0.55,2743.0,1508.0,8.0,Evaluate,Hard
Differentiate between the theoretical and practical aspects of Algorithms.,Computer Science,Algorithms,33.42,0.33,1463.0,489.0,18.2,Analyze,Hard
Justify the use of Quantum Mechanics over alternative methods.,Physics,Quantum Mechanics,60.6,0.61,624.0,378.0,11.1,Evaluate,Medium
Describe the mechanism behind Public Finance.,Economics,Public Finance,81.51,0.82,1914.0,1560.0,1.1,Understand,Easy
Execute a procedure based on Data Structures guidelines.,Computer Science,Data Structures,29.3,0.29,1982.0,580.0,14.4,Apply,Hard
Explain how Operating Systems functions in modern applications.,Computer Science,Operating Systems,55.99,0.56,1940.0,1086.0,7.2,Understand,Moderate
Calculate the value of Chemical Reactions and Equations given the standard parameters.,Chemistry,Chemical Reactions and Equations,59.2,0.59,599.0,354.0,5.0,Apply,Medium
Define the core principles of Networking.,Computer Science,Networking,56.2,0.56,415.0,233.0,9.9,Remember,Moderate
Summarize the key findings related to Game Theory.,Economics,Game Theory,58.67,0.59,2307.0,1353.0,10.0,Understand,Moderate
Justify the use of Machine Learning over alternative methods.,Computer Science,Machine Learning,32.76,0.33,1443.0,472.0,14.2,Evaluate,Hard
Summarize the key findings related to Genetics.,Biology,Genetics,51.41,0.51,1706.0,877.0,8.7,Understand,Moderate
Synthesize a new framework combining Macroeconomics with external disciplines.,Economics,Macroeconomics,12.33,0.12,1723.0,212.0,24.8,Create,Hard
Deconstruct the arguments surrounding Data Structures in contemporary literature.,Computer Science,Data Structures,68.0,0.68,1758.0,1195.0,11.5,Analyze,Moderate
Define the core principles of Calculus.,Mathematics,Calculus,78.52,0.79,2030.0,1593.0,4.4,Remember,Easy
Assess the validity of the dominant theory in Operating Systems.,Computer Science,Operating Systems,66.26,0.66,2155.0,1427.0,5.7,Evaluate,Moderate
Describe the mechanism behind Physiology.,Biology,Physiology,96.14,0.96,2318.0,2228.0,3.4,Understand,Easy
Assess the validity of the dominant theory in Game Theory.,Economics,Game Theory,32.66,0.33,1140.0,372.0,17.5,Evaluate,Hard
Apply the concepts of Physiology to a real-world scenario.,Biology,Physiology,64.24,0.64,2491.0,1600.0,9.8,Apply,Medium
How has the understanding of Integrals evolved since the 20th century?,Mathematics,Integrals,78.75,0.77,938.0,722.0,10.0,Create,Medium
List the main components of Probability.,Mathematics,Probability,60.46,0.6,1443.0,872.0,11.3,Remember,Medium
Argue the ethical implications of recent discoveries in Ecology.,Biology,Ecology,37.28,0.37,2369.0,883.0,17.5,Evaluate,Hard
Analyze the relationship between Quantum Mechanics and related phenomena.,Physics,Quantum Mechanics,44.83,0.45,948.0,425.0,5.9,Analyze,Moderate
Critique the methodology used to study Algorithms.,Computer Science,Algorithms,28.35,0.28,1450.0,411.0,13.5,Evaluate,Hard
Execute a procedure based on Econometrics guidelines.,Economics,Econometrics,42.87,0.43,1200.0,514.0,6.6,Apply,Moderate
List the main components of Cell Biology.,Biology,Cell Biology,41.57,0.42,1157.0,480.0,6.5,Remember,Moderate
What role does Microbiology play in the advancement of Biology technology?,Biology,Microbiology,60.33,0.63,1413.0,890.0,17.0,Analyze,Medium
Interpret the significance of Classical Mechanics in Physics.,Physics,Classical Mechanics,51.11,0.51,2004.0,1024.0,9.4,Understand,Moderate
Compare and contrast the primary approaches to Operating Systems.,Computer Science,Operating Systems,43.94,0.44,1288.0,565.0,7.0,Analyze,Medium
Summarize the key findings related to Optimization.,Mathematics,Optimization,45.6,0.46,50.0,22.0,9.6,Understand,Moderate
Summarize the key findings related to Microeconomics.,Economics,Microeconomics,42.53,0.43,698.0,296.0,10.9,Understand,Moderate
Calculate the expected outcome using principles of Cell Biology.,Biology,Cell Biology,41.25,0.41,756.0,311.0,7.8,Apply,Medium
Summarize the key findings related to Optics.,Physics,Optics,73.39,0.73,2572.0,1887.0,8.0,Understand,Medium
Recall the definition of Thermodynamics in the context of Physics.,Physics,Thermodynamics,65.26,0.65,1236.0,806.0,10.2,Remember,Moderate
Propose a new architecture integrating Cell Biology.,Biology,Cell Biology,50.97,0.51,1161.0,591.0,11.6,Create,Medium
Assess the validity of the dominant theory in Calculus.,Mathematics,Calculus,63.59,0.64,1927.0,1225.0,10.8,Evaluate,Medium
Describe the mechanism behind Genetics.,Biology,Genetics,47.94,0.48,1743.0,835.0,10.7,Understand,Medium
Demonstrate the use of Physiology in solving a standard Biology problem.,Biology,Physiology,46.23,0.46,1047.0,484.0,11.1,Apply,Moderate
Apply the concepts of Macroeconomics to a real-world scenario.,Economics,Macroeconomics,80.18,0.8,2194.0,1759.0,3.3,Apply,Easy
Explain how Classical Mechanics functions in modern applications.,Physics,Classical Mechanics,89.94,0.9,1484.0,1334.0,1.3,Understand,Easy
Differentiate between the theoretical and practical aspects of Evolution.,Biology,Evolution,46.77,0.47,643.0,300.0,9.1,Analyze,Moderate
Assess the validity of the dominant theory in Electromagnetism.,Physics,Electromagnetism,32.08,0.32,1004.0,322.0,16.5,Evaluate,Hard
Propose a new architecture integrating Networking.,Computer Science,Networking,39.19,0.39,2150.0,842.0,24.2,Create,Hard
Summarize the key findings related to Game Theory.,Economics,Game Theory,93.44,0.93,805.0,752.0,2.4,Understand,Easy
Define the core principles of Quantum Mechanics.,Physics,Quantum Mechanics,77.78,0.78,1214.0,944.0,1.3,Remember,Easy
Explain how Algorithms functions in modern applications.,Computer Science,Algorithms,45.34,0.45,1592.0,721.0,8.5,Understand,Moderate
List the main components of Quantum Mechanics.,Physics,Quantum Mechanics,78.01,0.78,1178.0,918.0,1.7,Remember,Easy
Recall the definition of Game Theory in the context of Economics.,Economics,Game Theory,47.08,0.47,1692.0,796.0,5.1,Remember,Medium
Calculate the expected outcome using principles of Discrete Math.,Mathematics,Discrete Math,67.3,0.67,601.0,404.0,11.4,Apply,Moderate
Propose a solution to a common challenge in Passive Voice.,English,Passive Voice,86.44,0.83,1900.0,1577.0,11.0,Analyze,Moderate
Assess the validity of the dominant theory in Electromagnetism.,Physics,Electromagnetism,67.63,0.68,1556.0,1052.0,6.1,Evaluate,Medium
Formulate a hypothesis regarding the future trajectory of Electromagnetism.,Physics,Electromagnetism,13.05,0.13,2736.0,357.0,12.9,Create,Hard
Summarize the key findings related to Algorithms.,Computer Science,Algorithms,86.19,0.86,1728.0,1489.0,1.6,Understand,Easy
Solve a comprehensive problem involving the core principles of Vikings. - Perspective 486,History,Vikings,12.48,0.16,1416.0,226.0,14.0,Remember,Moderate
Demonstrate the use of Public Finance in solving a standard Economics problem.,Economics,Public Finance,41.92,0.42,876.0,367.0,7.2,Apply,Medium
